, Danh mục  , Hãng sản xuất  , KHOẢNG GIÁ 
0,Quạt Tản nhiệt,ALPHACOOL,Dưới 100 ngàn
1,Tản nhiệt khí cho PC,AMBINO,100 ngàn - 200 ngàn
2,Tản nhiệt nước cho PC,AMD,200 ngàn - 300 ngàn
3,Linh phụ kiện tản nhiệt nước,ANTEC,300 ngàn - 400 ngàn
4,Các sản phẩm Modding,ARCTIC,400 ngàn - 500 ngàn
5,,ASUS,500 ngàn - 1 triệu
6,,BARROW,1 triệu - 2 triệu
7,,BITSPOWER,2 triệu - 3 triệu
8,,BYKSKI,3 triệu - 4 triệu
9,,COOLER MASTER,Trên 4 triệu
10,,COOLMOON,
11,,CORSAIR,
12,,COUGAR,
13,,DEEP COOL,
14,,EKWB,
15,,FORGAME,
16,,FREEZEMOD,
17,,GAMEMAX,
18,,GIGABYTE,
19,,HÃNG KHÁC,
20,,ID COOLING,
21,,INTEL,
22,,JONSBO,
23,,LIAN-LI,
24,,MSI,
25,,NOCTUA,
26,,NZXT,
27,,RAIJINTEK,
28,,SUPERMICRO,
29,,THERMALRIGHT,
30,,THERMALTAKE,
31,,VITRA DRAGON,
32,,XIGMATEK,
33,,XSPC,
34,,XTECH,
35,,ZALMAN,
