, Danh mục  , Hãng sản xuất  , KHOẢNG GIÁ ,  Loại RAM ,  Dung Lượng ,  BUS RAM ,  Tự Sửa Lỗi ,  Đèn LED 
0,RAM DDR3,ADATA,Dưới 2 triệu,DDR3,2GB,DDR3 1333 MHz,RAM ECC,Có LED
1,RAM DDR4,ANTECMEMORY,2 triệu - 4 triệu,DDR4,4GB,DDR3 1600 MHz,RAM Non-ECC,Không Có LED
2,,AVEXIR,4 triệu - 8 triệu,,8GB (1 x 8GB),DDR4 2133 MHz,,
3,,AXPRO,Trên 8 triệu,,8GB (2 x 4GB),DDR4 2400 MHz,,
4,,CORSAIR,,,16GB (1 x 16GB),DDR4 2666 MHz,,
5,,GADMEI,,,16GB (2 x 8GB),DDR4 2800 MHz,,
6,,GIGABYTE,,,16GB (4 x 4GB),DDR4 3000 MHz,,
7,,GSKILL,,,32GB (1 x 32GB),DDR4 3200 MHz,,
8,,HP,,,32GB (2 x 16GB),DDR4 3600 MHz,,
9,,KINGMAX,,,32GB (4 x 8GB),DDR4 4000 MHz,,
10,,KINGSTON,,,64GB (1 x 64GB),,,
11,,MICRON,,,64GB (2 x 32GB),,,
12,,SILICONPOWER,,,,,,
13,,TEAM,,,,,,
