, Danh mục  , Hãng sản xuất  , KHOẢNG GIÁ ,  Nhu Cầu Sử Dụng ,  GPU ,  Kiểu Bộ Nhớ ,  Kích Thước Bộ Nhớ ,  Giao Diện Bộ Nhớ 
0,VGA NVIDIA,AMD,Dưới 2 triệu,Gaming,NVIDIA GT 710,GDDR3,1 GB,64-bit
1,VGA AMD,ASROCK,2 triệu - 3 triệu,"Đồ Họa, Kiến Trúc",NVIDIA GT 1030,GDDR5,2 GB,128-bit
2,,ASUS,3 triệu - 5 triệu,"Phổ Thông, Văn Phòng",NVIDIA GTX 1650,GDDR6,4 GB,160-bit
3,,EVGA,5 triệu - 7 triệu,,NVIDIA GTX 1650 Super,HBM2,5 GB,192-bit
4,,GALAX,7 triệu - 9 triệu,,NVIDIA GTX 1660,GDDR6X,6 GB,256-bit
5,,GIGABYTE,9 triệu - 12 triệu,,NVIDIA GTX 1660 Super,,8 GB,352-bit
6,,HP,12 triệu - 15 triệu,,NVIDIA GTX 1660 Ti,,11 GB,384-bit
7,,INNO3D,15 triệu - 18 triệu,,NVIDIA RTX 2060,,12 GB,2048-bit
8,,LEADTEK,18 triệu - 24 triệu,,NVIDIA RTX 2060 Super,,16 GB,3072-bit
9,,MSI,Trên 24 triệu,,NVIDIA RTX 2070,,24 GB,4096-bit
10,,PALIT,,,NVIDIA RTX 2070 Super,,32 GB,320-bit
11,,PNY,,,NVIDIA RTX 2080,,48 GB,
12,,QUADRO,,,NVIDIA RTX 2080 Super,,10 GB,
13,,SAPPHIRE,,,NVIDIA RTX 2080 Ti,,,
14,,ZOTAC,,,NVIDIA Quadro,,,
15,,,,,AMD RX 570,,,
16,,,,,AMD RX 580,,,
17,,,,,AMD RX 5500 XT,,,
18,,,,,AMD RX 5600 XT,,,
19,,,,,AMD RX 5700,,,
20,,,,,AMD RX 5700 XT,,,
21,,,,,AMD RX Vega 64,,,
22,,,,,NVIDIA RTX 3070,,,
23,,,,,NVIDIA RTX 3080,,,
24,,,,,NVIDIA RTX 3090,,,
